Time,MAHANG,NHOMHH,CHUNGLOAI,SL,REGION
2018-10,GBDRYA00524.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA04715.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA36473.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA47147.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA57950.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA59073.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA59814.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA70338.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA71433.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA71441.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA75203.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA75862.102,TSCZ,Bong,2,HCM
2018-10,GBDRYA78991.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA79196.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA80516.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA80552.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA82251.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA84930.100,TSCZ,Bong,1,HCM
2018-10,GBDRCA75596.102,TSCZ,Bong,1,HCM
2018-10,GBDRCA87998.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA50791.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA50886.002,TSCZ,Bong,1,HCM
2018-10,GBDRYA52792.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA58503.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA59814.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA59992.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA74262.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA74281.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA75862.102,TSCZ,Bong,2,HCM
2018-10,GBDRYA80552.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA81531.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA81569.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA82251.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA82814.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA88079.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA88204.100,TSCZ,Bong,1,HCM
2018-10,GBDRYA88208.100,TSCZ,Bong,1,HCM
2018-10,GBKGYA85116.100,TSCZ,Bong,1,HCM
2018-10,GBDRCA75596.102,TSCZ,Bong,1,HCM
2018-10,GBDRYA36473.102,TSCZ,Bong,2,HCM
2018-10,GBDRYA47063.102,TSCZ,Bong,2,HCM
