Nhomhang,,,,TSCZHCM,TSCZHCM,TSCZHCM,TSCZHCM,TSCZHCM,TSCZHCM,TSCZHCM
Chung loai,,,,Bong,Day chuyen,Khac,Lac,Me day,Nhan,Vong
Time,NHOMHH,REGION,SL,TSCZHCM-Bông,TSCZHCM-Dây c?,TSCZHCM-Khác,TSCZHCM-L?c,TSCZHCM-M? ?ay,TSCZHCM-Nh?n,TSCZHCM-Vòng
2012 - 01,TSCZ,HCM,1418,489,33,39,119,235,448,55
2012 - 02,TSCZ,HCM,2264,682,87,3,136,466,810,80
2012 - 03,TSCZ,HCM,1923,645,63,6,112,371,654,72
2012 - 04,TSCZ,HCM,1050,353,34,12,86,202,318,45
2012 - 05,TSCZ,HCM,920,296,37,3,71,167,312,34
2012 - 06,TSCZ,HCM,868,314,26,,60,167,268,33
2012 - 07,TSCZ,HCM,1049,398,37,,83,205,294,32
2012 - 08,TSCZ,HCM,1004,353,47,,88,176,302,38
2012 - 09,TSCZ,HCM,846,320,57,,54,133,258,24
2012 - 10,TSCZ,HCM,1165,431,59,,103,201,317,54
2012 - 11,TSCZ,HCM,1193,435,70,1,104,217,311,55
2012 - 12,TSCZ,HCM,1290,471,65,1,100,242,350,61
2013 - 01,TSCZ,HCM,1601,573,76,,126,285,479,62
2013 - 02,TSCZ,HCM,1658,537,41,,96,290,641,53
2013 - 03,TSCZ,HCM,1649,592,60,1,109,300,523,64
2013 - 04,TSCZ,HCM,1123,396,43,1,81,189,373,40
2013 - 05,TSCZ,HCM,986,376,40,,81,181,279,29
2013 - 06,TSCZ,HCM,1056,367,36,,78,204,334,37
2013 - 07,TSCZ,HCM,1220,438,51,,104,233,345,49
2013 - 08,TSCZ,HCM,1084,367,30,,72,223,346,46
2013 - 09,TSCZ,HCM,1096,387,46,,90,197,336,40
2013 - 10,TSCZ,HCM,1590,494,77,1,140,284,512,82
2013 - 11,TSCZ,HCM,1416,504,47,,101,291,421,52
2013 - 12,TSCZ,HCM,1882,621,61,,131,413,567,89
2014 - 01,TSCZ,HCM,2611,881,94,,193,584,747,112
2014 - 02,TSCZ,HCM,3306,"1,045",104,,189,680,"1,178",110
2014 - 03,TSCZ,HCM,2691,928,100,,151,578,839,95
2014 - 04,TSCZ,HCM,1845,629,92,,114,373,567,70
2014 - 05,TSCZ,HCM,1728,614,75,,101,321,547,70
2014 - 06,TSCZ,HCM,1547,498,60,,90,347,499,53
2014 - 07,TSCZ,HCM,1715,567,80,,109,371,507,81
2014 - 08,TSCZ,HCM,1879,641,74,,130,407,545,82
2014 - 09,TSCZ,HCM,1804,612,72,1,124,383,520,92
2014 - 10,TSCZ,HCM,2381,749,79,2,148,535,747,121
2014 - 11,TSCZ,HCM,1974,635,82,,157,416,594,90
2014 - 12,TSCZ,HCM,2352,711,100,,192,495,708,146
2015 - 01,TSCZ,HCM,2238,706,98, -   ,159,484,671,120
2015 - 02,TSCZ,HCM,4018,1195,125,0,248,841,1414,195
2015 - 03,TSCZ,HCM,3332,"1,017",104, -   ,241,726,"1,074",170
2015 - 04,TSCZ,HCM,2116,677,77, -   ,153,443,670,96
2015 - 05,TSCZ,HCM,1834,574,55, -   ,131,404,577,93
2015 - 06,TSCZ,HCM,1774,565,61,0,107,381,546,114
2015 - 07,TSCZ,HCM,2092,683,82,0,138,462,599,128
2015 - 08,TSCZ,HCM,1837,580,58,0,116,437,538,108
2015 - 09,TSCZ,HCM,1920,653,59,0,134,411,561,102
2015 - 10,TSCZ,HCM,3059,994,119,2,178,683,936,147
2015 - 11,TSCZ,HCM,2411,803,92,0,166,526,663,161
2015 - 12,TSCZ,HCM,2834,929,81,0,200,673,808,143
2016 - 01,TSCZ,HCM,3199,"1,005",95,,215,815,853,216
2016 - 02,TSCZ,HCM,5037,"1,442",142,,340,"1,064","1,835",214
2016 - 03,TSCZ,HCM,3877,"1,128",125,,257,890,"1,288",189
2016 - 04,TSCZ,HCM,2444,750,84, -   ,191,528,737,154
2016 - 05,TSCZ,HCM,2159,653,62, -   ,182,454,682,126
2016 - 06,TSCZ,HCM,2059,599,69, -   ,168,469,636,118
2016 - 07,TSCZ,HCM,2447,763,81, -   ,172,571,703,157
2016 - 08,TSCZ,HCM,2133,625,55,1,171,469,678,134
2016 - 09,TSCZ,HCM,2540,777,90,,210,564,728,171
2016 - 10,TSCZ,HCM,3934,"1,163",155,1,350,893,"1,121",251
2016 - 11,TSCZ,HCM,3174,945,117,1,250,761,883,217
2016 - 12,TSCZ,HCM,3663,"1,098",144, -   ,277,847,"1,074",223
2017 - 01,TSCZ,HCM,4697,"1,380",164, -   ,344,"1,042","1,468",299
2017 - 02,TSCZ,HCM,6609,"1,843",162, -   ,383,"1,300","2,658",263
2017 - 03,TSCZ,HCM,4203,"1,225",131, -   ,302,968,"1,312",265
2017 - 04,TSCZ,HCM,3226,"1,030",110,1,234,727,917,207
2017 - 05,TSCZ,HCM,2934,901,116,1,235,607,903,171
2017 - 06,TSCZ,HCM,2798,879,116,2,227,593,821,160
2017 - 07,TSCZ,HCM,2617,816,83,1,188,575,787,167
2017 - 08,TSCZ,HCM,2654,803,117, -   ,211,543,820,160
2017 - 09,TSCZ,HCM,2633,804,116,1,239,532,770,171
2017 - 10,TSCZ,HCM,4170,"1,235",218, -   ,348,880,"1,252",237
2017 - 11,TSCZ,HCM,3348,"1,007",162, -   ,283,719,949,228
2017 - 12,TSCZ,HCM,4269,"1,300",188, -   ,391,856,"1,248",286
2018 - 01,TSCZ,HCM,4242,"1,275",159, -   ,356,975,"1,208",269
2018 - 02,TSCZ,HCM,8589,"2,531",247, -   ,586,"1,778","2,984",463
2018 - 03,TSCZ,HCM,6085,"1,594",219, -   ,464,"1,315","2,125",368
2018 - 04,TSCZ,HCM,3864,"1,120",148, -   ,299,768,"1,296",233
2018 - 05,TSCZ,HCM,3362,"1,033",132,1,290,677,"1,039",190
2018 - 06,TSCZ,HCM,2937,870,124,1,260,617,877,188
2018 - 07,TSCZ,HCM,3428,"1,045",134, -   ,312,761,964,212
2018 - 08,TSCZ,HCM,3196,969,137, -   ,266,675,961,188
2018 - 09,TSCZ,HCM,3369,"1,041",163, -   ,279,697,975,214
2018 - 10,TSCZ,HCM,4974,"1,460",217, -   ,417,"1,054","1,512",314
2018 - 11,TSCZ,HCM,4175,"1,186",211, -   ,372,915,"1,187",304
2018 - 12,TSCZ,HCM,5406,"1,576",279, -   ,468,"1,157","1,583",343
2019 - 01,TSCZ,HCM,5380.840517,"1,530",229, -   ,443,"1,240","1,578",360
2019 - 02,TSCZ,HCM,9706.763407,"2,853",303, -   ,654,"1,960","3,462",474
2019 - 03,TSCZ,HCM,6779.773071,"1,814",260, -   ,559,"1,479","2,260",408
2019 - 04,TSCZ,HCM,4530.388016,"1,302",188, -   ,378,984,"1,404",275
2019 - 05,TSCZ,HCM,3994.686717,"1,188",164, -   ,351,854,"1,206",232
2019 - 06,TSCZ,HCM,3596.830783,"1,023",164, -   ,310,804,"1,061",235
2019 - 07,TSCZ,HCM,4223.55982,"1,258",178, -   ,369,932,"1,206",280
2019 - 08,TSCZ,HCM,3958.583043,"1,171",174, -   ,337,836,"1,193",249
2019 - 09,TSCZ,HCM,4154.140045,"1,249",199, -   ,375,860,"1,199",273
2019 - 10,TSCZ,HCM,6269.138626,"1,771",322, -   ,543,"1,346","1,894",393
2019 - 11,TSCZ,HCM,5161.920952,"1,437",270, -   ,476,"1,137","1,457",383
2019 - 12,TSCZ,HCM,6525.692361,"1,897",307, -   ,596,"1,412","1,898",416
